Full Name,Position ,Years of Service as a justice,Recess Appointment?,Year of Birth,Age When Appointed,Birth location,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's state judicial service,Nominee's federal judicial service (other than the U.S. Supreme Court),Nominee's Occupation at Time of Appointment, Home State of Nominee,Appointing President,Political Party Affiliation of President,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Breyer, Stephen G.",Associate Justice,1994-2022,,1938,55,California,Jewish,White,Male,Stanford University,Oxford University,Harvard University,N/A,"Yes, Arthur Goldberg (1964-65)","Washington, D.C., California, Massachusetts",N/A,Federal judge for the Court of Appeals for the First Circuit,U.S. Court of Appeals judge,Massachusetts,William Jefferson Clinton,Democrat,Advanced age,83,Still alive
"Roberts, John G., Jr.",Chief Justice,2005-present,,1955,50,New York,Roman Catholic,White,Male,Harvard University,N/A,Harvard University,N/A,"Yes, William Rehnquist (1980-81)","Washington, D.C.",N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,Maryland,George Walker Bush,Republican,Still on the court,Still on the court,Still alive
"Miers, Harriet E.",Nomination withdrawn,N/A,,1945,60,Texas,Episcopalian,White,Female,Southern Methodist University,N/A,Southern Methodist University,N/A,No,"Texas, Washington, D.C.",N/A,,White House counsel,Texas,George Walker Bush,Republican,N/A,N/A,Still alive
"Alito, Samuel A., Jr.",Associate Justice,2006-present,,1950,55,New Jersey,Roman Catholic,White,Male,Princeton University,N/A,Yale University,N/A,No,"New Jersey, New York",N/A,Federal judge for the Court of Appeals for the Third Circuit,U.S. Court of Appeals judge,New Jersey,George Walker Bush,Republican,Still on the court,Still on the court,Still alive
"Sotomayor, Sonia Maria",Associate Justice,2009-present,,1954,54,New York,Roman Catholic,Hispanic origin,Female,Princeton University,N/A,Yale University,N/A,No,New York,N/A,Federal judge for the Southern District of New York and for the Court of Appeals for the Second Circuit,U.S. Court of Appeals judge and professor/lecturer,New York,Barack H. Obama,Democrat,Still on the court,Still on the court,Still alive
"Kagan, Elena",Associate Justice,2010-present,,1960,50,New York,Jewish,White,Female,Princeton University,Oxford University,Harvard University,N/A,"Yes, Thurgood Marshall (1987-88)","New York, Washington, D.C.",N/A,,U.S. Solicitor General,Massachusetts,Barack H. Obama,Democrat,Still on the court,Still on the court,Still alive
"Garland, Merrick Brian",Not confirmed by the Senate,N/A,,1952,63,Illinois,Jewish,White,Male,Harvard University,N/A,Harvard University,N/A,"Yes, William Brennan (1978-79)","Washington, D.C.",N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,Maryland,Barack H. Obama,Democrat,N/A,N/A,Still alive
"Gorsuch, Neil McGill",Associate Justice,2017-present,,1967,49,Colorado,Episcopalian,White,Male,Columbia University,Oxford University,Harvard University,N/A,"Yes, Byron White/Anthony Kennedy (1993-94)","New York, Colorado, Washington, D.C.",N/A,Federal judge for the Court of Appeals for the Tenth Circuit,U.S. Court of Appeals judge,Colorado,Donald J. Trump,Republican,Still on the court,Still on the court,Still alive
"Kavanaugh, Brett Michael",Associate Justice,2018-present,,1965,53,"Washington, D.C.",Roman Catholic,White,Male,Yale University,N/A,Yale University,N/A,"Yes, Anthony Kennedy (1993-94)","Maryland, Washington, D.C.",N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge and professor/lecturer,Maryland,Donald J. Trump,Republican,Still on the court,Still on the court,Still alive
"Barrett, Amy Coney",Associate Justice,2020-present,,1972,48,Louisiana,Roman Catholic,White,Female,Rhodes College,N/A,Notre Dame,N/A,"Yes, Antonin Scalia (1998-99)","Virginia, Washington, D.C.",N/A,Federal judge for the Court of Appeals for the Seventh Circuit,U.S. Court of Appeals judge and professor/lecturer,Indiana,Donald J. Trump,Republican,Still on the court,Still on the court,Still alive
"Jackson, Ketanji Brown",Associate Justice,2022-present,,1970,51,"Washington, D.C.",Protestant,Black,Female,Harvard University,N/A,Harvard University,N/A,"Yes, Stephen Breyer (1999-2000)","Massachusetts, Washington, D.C.",N/A,Federal judge for the District of the District of Columbia and for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,"Washington, D.C.","Joseph R. Biden, Jr.",Democrat,Still on the court,Still on the court,Still alive
