Full Name,Position ,Years of Service as a justice,Recess Appointment?,Appointing President,Political Party Affiliation of President,Year of Birth,Age When Appointed,Birth location, Home State of Nominee,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's Occupation at Time of Appointment,Served as a state trial judge,Served as a state appellate judge,Served as a justice on the state's highest court,Served as a federal district court judge,Served as a federal appellate judge,Served as an Assistant U.S. Attorney?,Served as a U.S. Attorney?,Served in the Office of the U.S. Solicitor General (but not as SG)?,Served as the U.S. Solicitor General?,Served in the Office of the U.S. Attorney General (but not as AG)?,Served as the U.S. Attorney General?,Served in a U.S. Cabinet (below Secretary level)?,Served at the Secretary level in a U.S. Cabinet?,"Served in a Executive Commission, Agency, or White House Post (at a level below Head)?",Served as Head of an Executive Commission or Agency?,Served as U.S. President,Served in the U.S. House of Representatives,Served in the U.S. Senate,Served as Lt. Governor,Served as Governor,Served as Mayor, Served in a State Senate, Served in a State House, Served on a City Council,Served as a Public Defender,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Peckham, Wheeler H.",Not confirmed by the Senate,N/A,,Grover Cleveland,Democrat,1833,61,New York,New York,Episcopalian,White,Male,Union College,N/A,No Formal Law School Education/Read law,New York,No,New York,Law firm,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1905
"White, Edward Douglass",Associate Justice; Chief Justice,1894-1921,,Grover Cleveland,Democrat,1845,48,Louisiana,Louisiana,Roman Catholic,White,Male,Georgetown University,N/A,Tulane University,Louisiana,No,Louisiana,U.S. Senator,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Death,65,1921
"Peckham, Rufus Wheeler",Associate Justice,1896-1909,,Grover Cleveland,Democrat,1838,57,New York,New York,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,New York,No,New York,State highest court justice,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,70,1909
"McKenna, Joseph",Associate Justice,1898-1925,,William Mckinley,Republican,1843,54,Pennsylvania,California,Roman Catholic,White,Male,Benicia Institute,N/A,Columbia University,California,No,California,U.S. Attorney General,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Advanced age,81,1926
"Holmes, Oliver Wendell, Jr",Associate Justice,1902-1932,Yes,Theodore Roosevelt,Republican,1841,61,Massachusetts,Massachusetts,Unitarian,White,Male,Harvard University,N/A,Harvard University,N/A,No,Massachusetts,State highest court justice,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Advanced age,61,1935
"Day, William Rufus",Associate Justice,1903-1922,,Theodore Roosevelt,Republican,1849,53,Ohio,Ohio,Lutheran,White,Male,University of Michigan,N/A,University of Michigan,Ohio,No,Ohio,U.S. Court of Appeals judge,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Advanced age,73,1923
"Moody, William Henry",Associate Justice,1906-1910,,Theodore Roosevelt,Republican,1853,52,Massachusetts,Massachusetts,Episcopalian,White,Male,Harvard University,N/A,Harvard University,Massachusetts,No,Massachusetts,U.S. Attorney General,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Declining health,56,1917
"Lurton, Horace Harmon",Associate Justice,1910-1914,,William Howard Taft,Republican,1844,65,Kentucky,Tennessee,Episcopalian,White,Male,University of Chicago,N/A,Cumberland University,N/A,No,Tennessee,U.S. Court of Appeals judge,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,70,1914
"Hughes, Charles Evans",Associate Justice; Chief Justice,1910-1916; 1930-1941,,William Howard Taft,Republican,1862,48,New York,New York,Baptist,White,Male,Brown University,N/A,Columbia University,New York,No,New York,Governor of New York,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Ran for public office (unsuccessful),54,1948
"Van Devanter, Willis",Associate Justice,1911-1937,,William Howard Taft,Republican,1859,51,Indiana,50. wyoming,Episcopalian,White,Male,Depauw University,N/A,University of Cincinnati,N/A,No,Indiana,U.S. Court of Appeals judge,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Advanced age,78,1941
